typo_word,correct_word,typo_type
ello,hello,delete_char
hhllo,hello,replace_char
hellod,hello,insert_char
hell,hello,delete_char
ehllo,hello,swap_adjacent
hqello,hello,insert_char
worldu,world,insert_char
wrold,world,swap_adjacent
wolrd,world,swap_adjacent
wrld,world,delete_char
wgrld,world,replace_char
corld,world,replace_char
owrld,world,swap_adjacent
pyzthon,python,insert_char
pytho,python,delete_char
pythno,python,swap_adjacent
pyton,python,delete_char
pythn,python,delete_char
pythot,python,replace_char
pythgn,python,replace_char
ython,python,delete_char
machcine,machine,insert_char
mmachine,machine,insert_char
macuine,machine,replace_char
mlchine,machine,replace_char
mvchine,machine,replace_char
machive,machine,replace_char
machne,machine,delete_char
macfhine,machine,insert_char
leanring,learning,swap_adjacent
leavning,learning,replace_char
hearning,learning,replace_char
learnng,learning,delete_char
leraning,learning,swap_adjacent
leaning,learning,delete_char
leauning,learning,replace_char
mdoel,model,swap_adjacent
mhdel,model,replace_char
moden,model,replace_char
moedl,model,swap_adjacent
mqodel,model,insert_char
omdel,model,swap_adjacent
odel,model,delete_char
modelf,model,insert_char
daat,data,swap_adjacent
dat,data,delete_char
vata,data,replace_char
daa,data,delete_char
jata,data,replace_char
adta,data,swap_adjacent
adtaset,dataset,swap_adjacent
datayet,dataset,replace_char
duataset,dataset,insert_char
dataseu,dataset,replace_char
daltaset,dataset,insert_char
tdataset,dataset,insert_char
dlataset,dataset,insert_char
dbtaset,dataset,replace_char
pcroject,project,insert_char
rpoject,project,swap_adjacent
prvoject,project,insert_char
projcet,project,swap_adjacent
projqect,project,insert_char
porject,project,swap_adjacent
projmect,project,insert_char
proqect,project,replace_char
tsudent,student,swap_adjacent
stucdent,student,insert_char
stusdent,student,insert_char
cstudent,student,insert_char
sudent,student,delete_char
tudent,student,delete_char
qtudent,student,replace_char
studvent,student,insert_char
taecher,teacher,swap_adjacent
teacherh,teacher,insert_char
teahcer,teacher,swap_adjacent
tdeacher,teacher,insert_char
tecaher,teacher,swap_adjacent
teachre,teacher,swap_adjacent
teachr,teacher,delete_char
chool,school,delete_char
scohol,school,swap_adjacent
shool,school,delete_char
srchool,school,insert_char
shcool,school,swap_adjacent
schhol,school,replace_char
schol,school,delete_char
niversity,university,delete_char
uiversity,university,delete_char
unniversity,university,insert_char
universtiy,university,swap_adjacent
univerbsity,university,insert_char
univerasity,university,insert_char
univresity,university,swap_adjacent
compuetr,computer,swap_adjacent
cmoputer,computer,swap_adjacent
compguter,computer,insert_char
omputer,computer,delete_char
bomputer,computer,replace_char
comptuer,computer,swap_adjacent
qcomputer,computer,insert_char
coputer,computer,delete_char
sciece,science,delete_char
sciene,science,delete_char
sciencde,science,insert_char
tscience,science,insert_char
scince,science,delete_char
scgence,science,replace_char
siience,science,replace_char
sicence,science,swap_adjacent
meskage,message,replace_char
essage,message,delete_char
messgae,message,swap_adjacent
messeage,message,insert_char
hessage,message,replace_char
mefsage,message,replace_char
emaiz,email,replace_char
emai,email,delete_char
emdail,email,insert_char
emjail,email,insert_char
emailk,email,insert_char
emailu,email,insert_char
emaip,email,replace_char
chone,phone,replace_char
phnoe,phone,swap_adjacent
hone,phone,delete_char
puone,phone,replace_char
pxone,phone,replace_char
phoen,phone,swap_adjacent
pone,phone,delete_char
nuber,number,delete_char
numeber,number,insert_char
lumber,number,replace_char
numbehr,number,insert_char
numbre,number,swap_adjacent
nfumber,number,insert_char
friaend,friend,insert_char
frienkd,friend,insert_char
firend,friend,swap_adjacent
fziend,friend,replace_char
frind,friend,delete_char
foriend,friend,insert_char
frzend,friend,replace_char
faamily,family,insert_char
famkily,family,insert_char
yamily,family,replace_char
fauily,family,replace_char
famiyl,family,swap_adjacent
damily,family,replace_char
fsmily,family,replace_char
hosue,house,swap_adjacent
houte,house,replace_char
houe,house,delete_char
hobuse,house,insert_char
ohuse,house,swap_adjacent
honuse,house,insert_char
hose,house,delete_char
xouse,house,replace_char
monej,money,replace_char
moeny,money,swap_adjacent
mnoney,money,insert_char
mnoey,money,swap_adjacent
monry,money,replace_char
moey,money,delete_char
mnney,money,replace_char
creoit,credit,replace_char
cerdit,credit,swap_adjacent
crdit,credit,delete_char
yredit,credit,replace_char
credijt,credit,insert_char
creditg,credit,insert_char
bcredit,credit,insert_char
reftund,refund,insert_char
refnd,refund,delete_char
refudn,refund,swap_adjacent
refunwd,refund,insert_char
refnud,refund,swap_adjacent
rfeund,refund,swap_adjacent
efund,refund,delete_char
pyament,payment,swap_adjacent
paymentb,payment,insert_char
poayment,payment,insert_char
paymentv,payment,insert_char
paymeno,payment,replace_char
paymnet,payment,swap_adjacent
payemnt,payment,swap_adjacent
accounh,account,replace_char
accouny,account,replace_char
accoutn,account,swap_adjacent
accoount,account,insert_char
accout,account,delete_char
aicount,account,replace_char
acrount,account,replace_char
acount,account,delete_char
pasmsword,password,insert_char
pascsword,password,insert_char
paswsord,password,swap_adjacent
passworn,password,replace_char
pasword,password,delete_char
passwod,password,delete_char
apssword,password,swap_adjacent
weyther,weather,replace_char
weahter,weather,swap_adjacent
weatherh,weather,insert_char
weapher,weather,replace_char
weaher,weather,delete_char
weathvr,weather,replace_char
weathre,weather,swap_adjacent
weathere,weather,insert_char
musc,music,delete_char
usic,music,delete_char
msuic,music,swap_adjacent
muic,music,delete_char
muisc,music,swap_adjacent
muskic,music,insert_char
musiic,music,insert_char
move,movie,delete_char
movi,movie,delete_char
moie,movie,delete_char
moviec,movie,insert_char
ovie,movie,delete_char
maovie,movie,insert_char
meovie,movie,insert_char
omvie,movie,swap_adjacent
boowk,book,insert_char
bofk,book,replace_char
bok,book,delete_char
sook,book,replace_char
bcook,book,insert_char
wbook,book,insert_char
zook,book,replace_char
languge,language,delete_char
langugae,language,swap_adjacent
lqnguage,language,replace_char
nanguage,language,replace_char
alnguage,language,swap_adjacent
lagnuage,language,swap_adjacent
languafge,language,insert_char
englzsh,english,replace_char
engilsh,english,swap_adjacent
englihs,english,swap_adjacent
enhlish,english,replace_char
enlish,english,delete_char
egnlish,english,swap_adjacent
englsih,english,swap_adjacent
enlgish,english,swap_adjacent
moring,morning,delete_char
mprning,morning,replace_char
mornizng,morning,insert_char
moining,morning,replace_char
mornang,morning,replace_char
mhorning,morning,insert_char
morinng,morning,swap_adjacent
morningu,morning,insert_char
eveinng,evening,swap_adjacent
vening,evening,delete_char
emening,evening,replace_char
evenving,evening,insert_char
evering,evening,replace_char
evexing,evening,replace_char
evwning,evening,replace_char
evneing,evening,swap_adjacent
nihht,night,replace_char
nght,night,delete_char
xight,night,replace_char
ngight,night,insert_char
nihgt,night,swap_adjacent
gight,night,replace_char
nlght,night,replace_char
niaght,night,insert_char
tobday,today,insert_char
toda,today,delete_char
tuday,today,replace_char
otday,today,swap_adjacent
todpy,today,replace_char
toady,today,swap_adjacent
itoday,today,insert_char
otmorrow,tomorrow,swap_adjacent
tomorrw,tomorrow,delete_char
toorrow,tomorrow,delete_char
tomocrrow,tomorrow,insert_char
tromorrow,tomorrow,insert_char
tomyorrow,tomorrow,insert_char
tomrorow,tomorrow,swap_adjacent
yestreday,yesterday,swap_adjacent
ysterday,yesterday,delete_char
yesiterday,yesterday,insert_char
yeterday,yesterday,delete_char
yersterday,yesterday,insert_char
yesteray,yesterday,delete_char
importatn,important,swap_adjacent
hmportant,important,replace_char
impowtant,important,replace_char
ipmortant,important,swap_adjacent
impozrtant,important,insert_char
importdant,important,insert_char
imiportant,important,insert_char
ibmportant,important,insert_char
simplej,simple,insert_char
simdle,simple,replace_char
sipmle,simple,swap_adjacent
simlpe,simple,swap_adjacent
simpe,simple,delete_char
simle,simple,delete_char
simpie,simple,replace_char
xample,example,delete_char
yexample,example,insert_char
examble,example,replace_char
exampleq,example,insert_char
exmaple,example,swap_adjacent
examplue,example,insert_char
xeample,example,swap_adjacent
correvct,correct,insert_char
correc,correct,delete_char
correnct,correct,insert_char
correcyt,correct,insert_char
corect,correct,delete_char
codrect,correct,replace_char
corrcet,correct,swap_adjacent
mistae,mistake,delete_char
misatke,mistake,swap_adjacent
mstake,mistake,delete_char
mistyke,mistake,replace_char
mistaek,mistake,swap_adjacent
imstake,mistake,swap_adjacent
mistrake,mistake,insert_char
mistoake,mistake,insert_char
reror,error,swap_adjacent
erro,error,delete_char
errorf,error,insert_char
erroa,error,replace_char
oerror,error,insert_char
eror,error,delete_char
erorr,error,swap_adjacent
functipn,function,replace_char
fnuction,function,swap_adjacent
funciton,function,swap_adjacent
functigon,function,insert_char
fiunction,function,insert_char
fucntion,function,swap_adjacent
junction,function,replace_char
functioe,function,replace_char
varibale,variable,swap_adjacent
vairable,variable,swap_adjacent
variaboe,variable,replace_char
varwable,variable,replace_char
variabhle,variable,insert_char
avriable,variable,swap_adjacent
variablw,variable,replace_char
varaible,variable,swap_adjacent
programb,program,insert_char
progrdam,program,insert_char
rpogram,program,swap_adjacent
prograum,program,insert_char
pprogram,program,insert_char
prtgram,program,replace_char
progrma,program,swap_adjacent
algorthm,algorithm,delete_char
algortihm,algorithm,swap_adjacent
lagorithm,algorithm,swap_adjacent
algrithm,algorithm,delete_char
algxrithm,algorithm,replace_char
algorihm,algorithm,delete_char
agorithm,algorithm,delete_char
alogrithm,algorithm,swap_adjacent
beyboard,keyboard,replace_char
jeyboard,keyboard,replace_char
keybonrd,keyboard,replace_char
keyqboard,keyboard,insert_char
keybaord,keyboard,swap_adjacent
kefyboard,keyboard,insert_char
keyboad,keyboard,delete_char
keyboarsd,keyboard,insert_char
toyping,typing,insert_char
typinag,typing,insert_char
tyipng,typing,swap_adjacent
otyping,typing,insert_char
typijg,typing,replace_char
typping,typing,insert_char
senence,sentence,delete_char
sentnece,sentence,swap_adjacent
sentwnce,sentence,replace_char
ventence,sentence,replace_char
setnence,sentence,swap_adjacent
entence,sentence,delete_char
sentenec,sentence,swap_adjacent
sentehnce,sentence,insert_char
wordi,word,insert_char
uword,word,insert_char
wod,word,delete_char
owrd,word,swap_adjacent
wcrd,word,replace_char
woxd,word,replace_char
