transaction_id,customer_age,sender_country,recipient_country,risk_segment,account_age_days,account_balance,avg_transaction_amount,transaction_amount,transaction_type,device_type,previous_failed_attempts,transactions_last_24h,days_since_last_transaction,time_by_greenwich,is_fraud
1,51,Russia,Germany,medium,1876,311304.35,4213.5,2715.55,card_payment,atm,0,4,55,2026-01-01 18:12:19,0
2,44,Turkey,Kazakhstan,medium,324,12594.92,1029.9,2075.18,card_payment,pos_terminal,1,6,45,2026-01-01 13:15:35,0
3,36,Russia,Germany,low,2384,62942.82,1225.15,608.78,bill_payment,mobile,0,1,39,2026-01-01 14:43:50,0
4,67,Turkey,Turkey,low,2005,26152.81,2373.48,1369.17,crypto_transfer,desktop,0,2,32,2026-01-01 20:46:34,0
5,55,Russia,Russia,medium,1537,17170.99,476.57,235.46,crypto_transfer,atm,0,4,37,2026-01-01 03:14:25,0
6,31,Turkey,Germany,low,940,25398.94,1029.73,1222.58,cash_withdrawal,pos_terminal,0,1,47,2026-01-01 16:30:59,0
7,40,UAE,Kazakhstan,medium,1136,126845.64,848.05,452.4,card_payment,mobile,0,3,10,2026-01-01 15:30:07,0
8,19,Russia,UAE,high,1103,4992.17,2433.82,1182.54,card_payment,mobile,0,1,36,2026-01-01 03:05:30,0
9,29,Russia,Russia,medium,3223,7798.49,400.2,434.27,card_payment,mobile,1,1,57,2026-01-01 10:53:08,0
10,68,Russia,Kazakhstan,low,1400,66843.54,716.58,294.43,cash_withdrawal,mobile,0,3,39,2026-01-01 11:06:23,0
11,63,Russia,UAE,low,2406,5046.98,2630.02,3543.72,online_transfer,mobile,0,3,16,2026-01-01 01:13:47,0
12,54,Kazakhstan,Russia,low,1128,21183.81,4482.72,606.68,online_transfer,mobile,0,0,28,2026-01-01 08:00:45,0
13,39,Russia,Unknown,low,3008,13105.37,674.49,5743.56,card_payment,pos_terminal,1,2,55,2026-01-01 14:42:38,0
14,53,Germany,Kazakhstan,medium,3152,12969.39,1380.39,842.23,cash_withdrawal,mobile,0,2,10,2026-01-01 20:21:28,0
15,54,UAE,Russia,high,1666,34638.92,4489.85,124085.37,bill_payment,desktop,1,2,22,2026-01-01 19:43:59,1
16,37,Russia,Kazakhstan,low,3363,50390.65,1566.73,2230.19,online_transfer,pos_terminal,0,1,58,2026-01-01 17:29:39,0
